lab,loinc_code
%_MACROP,Not mapped
%ABI,Not mapped
%ABR,Not Mapped
%AGI,Not mapped
%AO,Not mapped
%AS,Not Mapped
%CM,Not Mapped
%CT,Not Mapped
%DBS,Not mapped
%DIG,Not mapped
%DU,Not mapped
%ELU,Not mapped
%PI,Not mapped
%ST,Not Mapped
%TS,Not Mapped
%UDIV,Not Mapped
%UN,Not Mapped
%UO,Not mapped
%XM,Not Mapped
BFCR25,6825-4
BFCRQ,6825-4
BFCRT3,12190-5
BFDR14,Not mapped
BFEO15,26452-3
BFEO16,26452-3
BFGL3,2344-0
BFHCT3,11153-4
BFHT25,11153-4
BFK,2821-7
BFLD3,2529-6
BFLIP3,15212-4
BFLY15,11031-2
BFLY16,11031-2
BFMO15,26487-9
BFMO16,26487-9
BFNA,2950-5
BFNE15,26513-2
BFNE16,26513-2
BFR15,26455-6
BFR16,26455-6
BFREF,Not mapped
BFREF3,Not mapped
BFRF14,Not mapped
BFS15,47938-6
BFS16,47938-6
BFSPGRT,2964-5
BFTP3,2881-1
BFTRG3,12228-3
BFTRGT,12228-3
BFVL15,12254-9
BFVL16,12254-9
BFW15,26466-3
BFW16,26466-3
BGL15,2344-0
BGL16,2344-0
BGLU14,2339-0
BGLU15,2339-0
BGLU16,2339-0
BGLU17,41653-7
BGLU23,41653-7
BGLU26,2339-0
BGLU28,2339-0
BGLU3,2339-0
BGLUT,2339-0
BGM18,2339-0
BGM24,2339-0
BGM25,2339-0
BGM27,2339-0
BGTOCQ,11038-7
BHCG18,21198-7
BHCGC,21198-7
BHGTQ,6954-2
BHIGSQ,32575-3
BHIMSQ,32576-1
BHMTQ,6955-9
BHYB18,6873-4
BIDSQ,Not mapped
BILID,1968-7
BILITBFT,1974-5
BILIU,5770-3
BILV27,Not mapped
BIMP,3690-5
BIMPTT,Not mapped
BIO1Q,1982-8
BIOASE,1982-8
BIRCH,15283-5
BIRQ,15283-5
BITSTQ,Not mapped
BK15,6298-4
BK16,6298-4
BK18,6298-4
BKPMD,41479-7
BKUMD,41480-5
BL14,709-6
BLAABQ,7816-2
BLACQ,6042-6
BLAP25,Not mapped
BLAST,709-6
BLAST3,709-6
BLASTD,30376-8
BLASTS,709-6
BLCGN,Not mapped
BLCO25,Not mapped
BLD1Q,Not mapped
BLDH15,2532-0
BLDH16,2532-0
BLDU,5794-3
BLEV17,Not mapped
BLIPOQ,17846-7
BLIS,10372-1
BLIS14,10372-1
BLOODQ,Not mapped
BLRB25,Not mapped
BLS15,Not mapped
BLS16,Not mapped
BLST18,709-6
BLST24,709-6
BLST25,709-6
BLST26,709-6
BLST27,709-6
BLYM18,Not mapped
BLYM26,Not mapped
BMABQ,5056-7
BMAP27,Not mapped
BME14,Not mapped
BMIN18,Not mapped
BNA15,2947-0
BNA16,2947-0
BNDDOX,3862-0
BNDP23,764-1
BNEU18,Not mapped
BNP,30934-4
BNP03,30934-4
BNP14,30934-4
BNP15,30934-4
BNP16,30934-4
BNP17,30934-4
BNP23,30934-4
BNP24,30934-4
BNP25,30934-4
BNP26,30934-4
BNP27,30934-4
BNP28,30934-4
BNRTRP,3872-9
BNRTRQ,3872-9
BOH2,6873-4
BONEF,15013-6
BORBUQ,11006-4
BORQ,Not mapped
BP230Q,53807-4
BPAGDQ,13916-2
BPBRB,Not mapped
BPDNAQ,23826-1
BPH15,2746-6
BPH16,2746-6
BPIGA,29672-3
BPIGG,55161-4
BPIGM,Not mapped
BPPDQ,29723-4
BPR,Not mapped
BPROP,Not mapped
BPTH26,Not mapped
BPTSQ,Not mapped
BPTTSQ,Not mapped
BQGTQ,9360-9
BQIGSQ,32577-9
BQIMSQ,32578-7
BRAFQ,Not mapped
BRAM26,Not mapped
BRAZIL,6050-9
BRBBU,3418-1
BRBC18,Not mapped
BRBPLQ,3948-7
BRBPN,3948-7
BRBPNQ,3948-7
BRBPT,3924-8
BRBQ,Not mapped
BRIGGQ,13210-0
BRIGMQ,5070-8
BRNA1Q,30934-4
BRNATQ,30934-4
BRNBF,Not mapped
BROD26,88972-5
BRODCU,88972-5
BRON18,Not mapped
BROQ,1984-4
BRVB26,69052-9
BSACQ,Not mapped
BSDA14,1922-4
BSDV14,1924-0
BSORQ,Not mapped
BSTYPQ,Not mapped
BT26,11067-6
BT27,11067-6
BTDOXP,3579-0
BTGL15,Not mapped
BTGL16,Not mapped
BTP15,Not mapped
BTP16,Not mapped
BTRQ,10921-5
BUDYST,41172-8
BUFF17,Not mapped
BUFFYC,92635-2
BUN,3094-0
BUN14,3094-0
BUN15,3094-0
BUN16,3094-0
BUN17,3094-0
BUN18,3094-0
BUN2,3094-0
BUN23,3094-0
BUN24,3094-0
BUN25,3094-0
BUN26,3094-0
BUN27,3094-0
BUN28,3094-0
BUN3,3094-0
BUNCR,3097-3
BUNI14,3094-0
BUNI28,3094-0
BUNIS,3094-0
BUNRU,Not mapped
BUPRCQ,3415-7
BUPRQ,3414-0
BUPSC3,3414-0
BURR14,7790-9
BURRC,7790-9
BUTCAR,43243-5
BUTLTL,16237-0
BUTYQ,Not mapped
BVOL26,Not mapped
BYST,41172-8
BYST25,41172-8
BYST26,41172-8
BYST28,41172-8
BZD17,3390-2
BZD28,3390-2
C1003,Not mapped
C101X2,30328-9
C10Q,9751-9
C10X2,30327-1
C12026,Not mapped
C121X2,30332-1
C12515,Not mapped
C12524,Not mapped
C12OH2,Not mapped
C12X2,30332-1
C141O2,30566-4
C141X2,30566-4
C142X2,30564-9
C14OH2,30238-0
C14X2,30565-6
C15CQ,Not mapped
C161O2,30235-6
C161X2,30357-8
C1656Q,Not mapped
C16OH2,30234-9
C16Q,9752-7
C16X2,30356-0
C181O2,30312-3
C181X2,30542-5
C182O2,30237-2
C182X2,30237-2
C18X2,30560-7
C19924,Not mapped
C199Q,24108-3
C1EAQ,10634-4
C1EI,4477-6
C1EPQ,4477-6
C1Q,Not mapped
C2,4484-2
C223,Not mapped
C22C0,53859-5
C22Q,Not mapped
C24C0,53860-3
C24C22,30196-0
C24Q,Not mapped
C26C0,33403-7
C26C22,30198-6
C26Q,Not mapped
C27924,17842-6
C282Y,Not mapped
C2X2,30191-1
C3,4485-9
C314,4485-9
C33C,Not mapped
C3DIQ,Not mapped
C3PCQ,43575-0
C3PLQ,43579-2
C3Q,4485-9
C3XX2,30551-6
C4,4498-2
C414,4498-2
C48RAQ,Not mapped
C4PCQ,43580-0
C4PLQ,43582-6
C4PTQ,43581-8
C4Q,4498-2
C4RA62,Not mapped
C4XX2,43243-5
C5,4505-4
C511,Not mapped
C5DC2,30349-5
C5X2,30531-8
C6,4507-0
C6OH2,30236-4
C6X2,30358-6
C7Q,4508-8
C81X2,30541-7
C8Q,4509-6
C8X2,30540-9
C9FQ,Not mapped
C9PFQ,Not mapped
C9PQ,Not mapped
C9Q,4510-4
CA,17861-6
CA10Q,9751-9
CA125,10334-1
CA1253,10334-1
CA125Q,10334-1
CA14,17861-6
CA153,6875-9
CA153Q,6875-9
CA16Q,9752-7
CA18,17861-6
CA19-9,24108-3
CA199C,24108-3
CA2,17861-6
CA21,17861-6
CA23,17861-6
CA24,17861-6
CA24HR,6874-2
CA25,17861-6
CA26,17861-6
CA27,17861-6
CA27Q,17842-6
CA28,17861-6
CA2Q,16682-7
CA3,17861-6
CA4Q,16683-5
CA7Q,9756-8
CA9Q,9758-4
CAAAA,26587-6
CAABQ,23950-9
CAABUT,26586-8
CAB2Q,Not mapped
CAB4Q,Not mapped
CAB7Q,Not mapped
CAB9Q,Not mapped
CABCSF,6370-1
CABG14,Not mapped
CABG23,Not mapped
CABI27,Not mapped
CABIN,Not mapped
CABR27,Not mapped
CACABN,33979-6
CACABP,33980-4
CACEQ,12480-0
CACG14,33393-0
CACG25,33393-0
CACSFQ,Not mapped
CADEQ,Not mapped
CADP,24472-3
CADUQ,Not mapped
CAEQ,Not mapped
CAER25,5807-3
CAFAT,5789-3
CAFFNQ,Not mapped
CAFG14,32680-1
CAFG25,32680-1
CAGI27,Not mapped
CAHY14,5796-8
CAHY15,5796-8
CAHYAL,5796-8
CAI14,1994-3
CAI17,1994-3
CAI24,1994-3
CAI25,1994-3
CAI27,1994-3
CAIA26,5076-5
CAIG26,3181-5
CAIM26,3182-3
CAIO16,1994-3
CAION3,1994-3
CAIONGAS,34581-9
CAIONP,1994-3
CAIONPOC,34581-9
CAIONQ,1994-3
CAIP25,1994-3
CAIP27,1994-3
CAIV25,1994-3
CAL15,17861-6
CAL16,17861-6
CALAN,22657-1
CALBUQ,1746-7
CALC17,17861-6
CALCUQ,Not mapped
CALGC,9539-8
CALIC,49067-2
CALMC,9540-6
CALOSMO,18182-6
CALOXU,25148-8
CALPHOSU,25149-6
CALPQ,38445-3
CALUQ,Not mapped
CAMJJQ,26818-5
CAMPJ,Not mapped
CAMPT,68489-4
CAMPTV,Not mapped
CANAQ,6059-0
CANDIQ,5074-0
CANMQ,29770-5
CANN17,3427-2
CANN23,3427-2
CANN28,3427-2
CANNQ,3427-2
CANQ,Not mapped
CANSRN,26588-4
CAO27,Not mapped
CAOX26,25148-8
CAOX28,25148-8
CAPH28,25149-6
CAPP23,10333-3
CAPTHQ,17861-6
CAQ,17861-6
CAR,3432-2
CAR17,3432-2
CARA14,5767-9
CARA27,5767-9
CARACT,5767-9
CARB,3432-2
CARB14,Not mapped
CARB25,3432-2
CARB28,3432-2
CARBC,5807-3
CARBI,Not mapped
CARBQ,Not mapped
CARGIN,22656-3
CARGMQ,3182-3
CARGQ,Not mapped
CARIMQ,Not mapped
CARIQ,3437-1
CARNES,19074-4
CARNFR,14286-9
CARNTT,14288-5
CAROTQ,Not mapped
CARSN,26606-4
CARTN,2053-7
CARUQ,Not mapped
CAS27,Not mapped
CASEQ,Not mapped
CASHEW,6718-1
CASPRC,Not mapped
CASPRG,26603-1
CAST24,Not mapped
CASTS,9842-6
CASU27,Not mapped
CAT,6833-8
CAT10C,9750-1
CAT16C,6688-6
CAT2C,9753-5
CAT4C,9754-3
CAT7C,9755-0
CAT9C,9757-6
CATCRQ,43247-6
CATQ,6833-8
CATTOQ,Not mapped
CATYLY,13518-6
CAWA14,Not mapped
CAWA25,5819-8
CAWAX,5819-8
CAWB14,Not mapped
CAWB25,5820-6
CAWBC,5820-6
CB1AB,5104-5
CB1Q,5104-5
CB2AB,5106-0
CB2Q,5106-0
CB3AB,5108-6
CB3Q,5108-6
CB4AB,5110-2
CB4Q,5110-2
CB5AB,5112-8
CB5Q,5112-8
CB6AB,5114-4
CB6Q,5114-4
CBACLO,Not mapped
CBAIBA,26590-0
CBALAN,26589-2
CBALQ,Not mapped
CBAND,26509-0
CBASO,30374-3
CBCG28,Not mapped
CBIL14,1968-7
CBILI,1968-7
CBLAST,13522-8
CBND27,26509-0
CBS,Not mapped
CBT1C,5104-5
CBT2C,5106-0
CBT3C,5108-6
CBT4C,5110-2
CBT5C,5112-8
CBT6C,5114-4
CC1Q,9759-2
CC2Q,9760-0
CC3Q,9761-8
CC4Q,9762-6
CC5Q,9763-4
CC6Q,9764-2
CCARSN,26591-8
CCCREA,2161-8
CCEL26,Not mapped
CCGQ,Not mapped
CCHR27,Not mapped
CCITRL,22654-8
CCLEAR,Not mapped
CCLNTU,14115-0
CCLQ,Not mapped
CCLR26,2164-2
CCLR3,2164-2
CCMDQ,Not mapped
CCMQ,Not mapped
CCMV1Q,Not mapped
CCNT17,Not mapped
CCNT26,Not mapped
CCOL23,10335-8
CCOL27,10335-8
CCOM27,Not mapped
CCOM28,Not mapped
CCOMET,Not mapped
CCPIGG,33935-8
CCREA2,Not mapped
CCRPQ,30522-7
CCSEND,Not mapped
CCT14,13362-9
CCTV15,3167-4
CCTV16,3167-4
CCUQ,Not mapped
CCURQ,Not mapped
CCYA1Q,10656-7
CCYAQ,48597-9
CCYSTA,26592-6
CCYSTN,22653-0
CD10Q,Not mapped
CD117Q,Not mapped
CD11CQ,Not mapped
CD13Q,Not mapped
CD19AQ,8116-6
CD19CQ,Not mapped
CD19PQ,8117-4
CD19Q,Not mapped
CD200Q,Not mapped
CD23Q,Not mapped
CD2Q,Not mapped
CD3,8124-0
CD334Q,Not mapped
CD33Q,Not mapped
CD38Q,Not mapped
CD3AQ,8122-4
CD3CQ,Not mapped
CD3M25,Not mapped
CD3P25,13333-0
CD3P4,8123-2
CD3PRA,Not mapped
CD3Q,Not mapped
CD45Q,Not mapped
CD48RQ,54218-3
CD4AQ,24467-3
CD4CQ,Not mapped
CD4PQ,8123-2
CD4PRA,26759-1
CD4Q,Not mapped
CD56Q,Not mapped
CD5Q,Not mapped
CD64Q,Not mapped
CD7Q,Not mapped
CD8AQ,14135-8
CD8CQ,Not mapped
CD8PQ,8101-8
CD8Q,Not mapped
CDAT18,33882-2
CDBQ,Not mapped
CDCPQ,Not mapped
CDCQ,562-9
CDEC14,Not mapped
CDEOAQ,30519-3
CDFTQ,87755-5
CDIF1Q,34468-9
CDIS14,Not mapped
CDLY0Q,731-0
CDTCDG,Not mapped
CDTL0Q,8122-4
CDTL1Q,8124-0
CE11Q,9516-6
CE30Q,9518-2
CE4Q,9519-0
CE7Q,23993-9
CE9Q,9520-8
CEA,2039-6
CEA14,2039-6
CEA24,2039-6
CEA25,2039-6
CEA26,2039-6
CEAF24,12515-3
CEAQ,2039-6
CEFQ,Not mapped
CELA24,43689-9
CELC18,Not mapped
CELL26,Not mapped
CELL28,Not mapped
CELLCU,Not mapped
CEMG,Not mapped
CEMM,Not mapped
CENABQ,53982-5
CENTRM,42196-6
CEOS,26451-5
CEOS27,26451-5
CEPCQ,40621-5
CEPFQ,40622-3
CEPI,24471-5
CEPLUQ,19169-2
CERT1Q,Not mapped
CERU,Not mapped
CERULO,2064-4
CERULQ,2064-4
CETOHA,Not mapped
CEVALQ,5117-7
CEVG,Not mapped
CEVI,Not mapped
CEVM,Not mapped
CF024,2143-6
CF026,2143-6
CF3,21654-9
CF3024,2143-6
CF3026,2143-6
CF6024,2143-6
CF6026,2143-6
CFA24,9813-7
CFA26,9813-7
CFCM26,Not mapped
CFCMNT,Not mapped
CFDC26,29584-0
CFI16,Not mapped
CFLY26,26479-6
CFMN26,26486-1
CFOT26,26472-1
CFPH26,2747-4
CFPY26,26517-3
CFRC26,26454-9
CFREF,Not mapped
CFRQ,21654-9
CFSG26,14346-1
CFTY27,47938-6
CFUNQ,Not mapped
CFWC26,26465-5
CGABA,26594-2
CGLTMC,22652-2
CGLTMN,22641-5
CGLU,2342-4
CGLU23,2342-4
CGLYCN,22650-6
CH50,4532-8
CH50Q,4532-8
CHASEQ,2098-2
CHBI,20509-6
CHBI14,20509-6
CHCT,Not mapped
CHD18,9830-1
CHDLQ,Not mapped
CHDLRQ,9830-1
CHDN2Q,21613-5
CHDR26,9830-1
CHERQ,6075-6
CHHD23,9830-1
CHIGGQ,56128-2
CHIGMQ,56130-8
CHIKMQ,60260-7
CHIKQ,60260-7
CHIQ,6071-5
CHISTD,9453-2
CHL18,2093-3
CHLINT,Not mapped
CHLMG,Not mapped
CHLMM,Not mapped
CHLOP,2075-0
CHLOPR,3474-4
CHLOR,Not mapped
CHLORM,173-5
CHLQ,Not mapped
CHLS1Q,2093-3
CHMOQ,Not mapped
CHOL,2093-3
CHOL14,2093-3
CHOL15,2093-3
CHOL16,2093-3
CHOL17,2093-3
CHOL18,2093-3
CHOL23,2093-3
CHOL24,2093-3
CHOL25,2093-3
CHOL26,2093-3
CHOL27,2093-3
CHOL28,2093-3
CHOL3,2093-3
CHOLAQ,30518-5
CHOLEQ,2093-3
CHOLQ,2093-3
CHOLSQ,Not mapped
CHOLTQ,Not mapped
CHOMOC,22660-5
CHPCRQ,Not mapped
CHPPCR,Not mapped
CHRA17,9830-1
CHRA24,9830-1
CHRA28,9830-1
CHRMM,5622-6
CHROM,Not mapped
CHSTN,Not mapped
CHTRQ,Not mapped
CHWB14,2069-3
CHYMIC,2121-2
CHYMIQ,Not mapped
CIAQ,9516-6
CIBQ,9534-9
CIG,Not mapped
CIGA,2458-8
CIGAQ,2457-0
CIGG,2464-6
CIGGEL,Not mapped
CIGGQ,Not mapped
CIGGSQ,14116-8
CIGM,Not mapped
CIGMQ,2471-1
CIMMUQ,13174-8
CINFOQ,Not mapped
CIQ,Not mapped
CISOLU,22659-7
CITQ,29527-9
CITRL,20640-9
CITRQ,20640-9
CK,2157-6
CK15,2157-6
CK16,2157-6
CK18,2157-6
CK23,2157-6
CK25,2157-6
CKBB1Q,15048-2
CKERAQ,38420-6
CKM15,13969-1
CKM16,13969-1
CKMB14,13969-1
CKMB17,13969-1
CKMB1Q,13969-1
CKMB23,13969-1
CKMB24,13969-1
CKMB26,13969-1
CKMB28,13969-1
CKMB3,13969-1
CKMBIDX,12187-1
CKMBRI,12187-1
CKMBS,13969-1
CKMBSCCK,Not mapped
CKMM1Q,15049-0
CKTQ,2157-6
CKX15,12187-1
CKX16,12187-1
CL,2075-0
CL14,2075-0
CL15,2075-0
CL16,2075-0
CL17,2075-0
CL18,2075-0
CL2,2075-0
CL21,2075-0
CL23,2075-0
CL24,2075-0
CL24Q,Not mapped
CL25,2075-0
CL26,2075-0
CL27,2075-0
CL28,2075-0
CL3,2075-0
CLA18,41650-3
CLA1Q,6076-4
CLAC14,2520-5
CLACT,2520-5
CLADH,Not mapped
CLAMAL,6076-4
CLAPWQ,15936-8
CLAR18,32167-9
CLBG14,Not mapped
CLBTQ,15581-2
CLCGQ,9766-7
CLCITA,1992-7
CLCITN,1992-7
CLCK,Not mapped
CLCLQ,15643-0
CLCMQ,9768-3
CLEAR,2164-2
CLEARQ,2164-2
CLER23,Not mapped
CLEUCN,9412-8
CLG25,41650-3
CLGAS,41650-3
CLGQ,9539-8
CLI3,2075-0
CLIINQ,55752-0
CLIMPQ,3491-8
CLIMTQ,3493-4
CLIN26,Not mapped
CLIS,2069-3
CLIS14,2069-3
CLIS28,2069-3
CLL14,Not mapped
CLLA14,Not mapped
CLLP15,Not mapped
CLMQ,9540-6
CLNAZP,3494-2
CLNDIN,3495-9
CLOSTIME,Not mapped
CLOSTINT,Not mapped
CLOZA,6896-5
CLP26,2075-0
CLP27,2069-3
CLPOX,3457-9
CLR24,2164-2
CLR25,2164-2
CLRBCU,Not mapped
CLRU,Not mapped
CLSHSQ,Not mapped
CLSULQ,Not mapped
CLV25,2075-0
CLWB14,2069-3
CLWBC,46420-6
CLWMQ,15864-2
CLYM27,26479-6
CLYMPH,26479-6
CLYSIN,22651-4
CLZRIL,Not mapped
CM1HST,26584-3
CM3HST,26585-0
CMAC27,Not mapped
CMBC25,Not mapped
CMBS25,38482-6
CMBX25,12187-1
CMBX26,12187-1
CMD16,Not mapped
CMETA,33263-5
CMETHI,22648-0
CMIGQ,22246-3
CMIMQ,22249-7
CMMNT,8251-1
CMNT1,Not mapped
CMNT3,Not mapped
CMON24,26486-1
CMON27,26486-1
CMONO,26486-1
CMONON,26492-9
CMQ,Not mapped
CMSC16,Not mapped
CMTD18,Not mapped
CMTLAC,Not mapped
CMTLVW,Not mapped
CMTPLT,Not mapped
CMTTRS,Not mapped
CMTVWP,48595-3
CMTVWS,Not mapped
CMV14,30326-3
CMVA23,Not mapped
CMVABQ,5126-8
CMVAGH,Not mapped
CMVALS,Not mapped
CMVCMD,Not mapped
CMVCUQ,5838-8
CMVG,5124-3
CMVGIX,Not mapped
CMVIGG,5124-3
CMVIGM,5126-8
CMVM,5126-8
CMVMD,Not mapped
CMVMQ,5126-8
CMVP25,5000-5
CMVQ,5124-3
CMVQUQ,Not mapped
CMVRE,Not mapped
CMYELO,30447-7
CN,Not mapped
CNEU24,26512-4
CNRBC,48778-5
CNTMV,Not mapped
CNTP,19218-7
CNTVP,19220-3
CNU10Q,Not mapped
CNUC27,Not mapped
CNUM1Q,Not mapped
CNUM2Q,Not mapped
CNUM3Q,Not mapped
CNUM9Q,Not mapped
CNUMBQ,Not mapped
CO2,2028-9
CO214,2028-9
CO215,2028-9
CO216,2028-9
CO217,2028-9
CO218,2028-9
CO22,2028-9
CO221,2028-9
CO223,2028-9
CO224,2028-9
CO225,2028-9
CO226,2028-9
CO227,2028-9
CO228,2028-9
CO23,2028-9
CO2A26,2026-3
CO2C15,Not mapped
CO2C16,Not mapped
CO2V26,2027-1
CO3,Not mapped
COBALQ,Not mapped
COBUQ,Not mapped
COC3,3393-6
COCA17,3393-6
COCA23,3393-6
COCA28,3393-6
COCCIG,7826-1
COCCIM,7827-9
COCCIQ,5095-5
COCKR,6078-0
COCQ,6078-0
COCRU,Not mapped
COCTRA,72392-4
CODE23,Not mapped
CODEQ,Not mapped
CODFQ,6082-2
CODFSH,6082-2
CODIN,3508-9
COFFE,Not mapped
COFRC,30172-1
COFRD,11040-3
COFRU,Not mapped
COHB,2030-5
COHB14,2030-5
COHB17,2030-5
COHB18,2030-5
COHB23,2030-5
COHB24,2030-5
COHB25,2030-5
COHB27,2030-5
COHBPOC,2030-5
COHLYS,26595-9
COHPRO,26596-7
COKBQ,3396-9
COKE,43230-2
COKE25,3393-6
COKMQ,Not mapped
COKUCQ,3393-6
COKUMQ,3393-6
COL124,10333-3
COLA14,24472-3
COLAD2,24472-3
COLADP,24472-3
COLDAG,Not mapped
COLDQ,5098-9
COLE14,24471-5
COLEP2,24471-5
COLEPN,24471-5
COLI14,Not mapped
COLIGQ,12782-9
COLIN2,Not mapped
COLINT,Not mapped
COLL1Q,Not mapped
COLLD,Not mapped
COLLDU,Not mapped
COLORBF,6824-7
COLORCSF,10333-3
COLORF,6824-7
COLORQ,Not mapped
COLORU,5778-6
COLPLT,Not mapped
COLQ,Not mapped
COLR18,5778-6
COLR26,10333-3
COM,4532-8
COM02Q,Not mapped
COM13Q,Not mapped
COM15,Not mapped
COM16,Not mapped
COM16Q,Not mapped
COM17Q,Not mapped
COM19Q,Not mapped
COM1PA,Not mapped
COM20Q,Not mapped
COM217,Not mapped
COM23,Not mapped
COM23Q,Not mapped
COM26,Not mapped
COM27,Not mapped
COM27Q,Not mapped
COM318,Not mapped
COM40Q,Not mapped
COM418,Not mapped
COMA18,Not mapped
COMC18,Not mapped
COMC1Q,4478-4
COMCHQ,Not mapped
COME18,Not mapped
COMM18,Not mapped
COMMNT,Not mapped
COMMQ,Not mapped
COMN6Q,Not mapped
COMN9Q,Not mapped
COMNT,Not mapped
COMP23,Not mapped
COMP2Q,Not mapped
COMPLTAG,Not mapped
COMPQ,9795-6
COMPT,Not mapped
COMTOQ,3983-4
CONABQ,Not mapped
COND14,Not mapped
COND27,Not mapped
COND3,Not mapped
CONDD3,Not mapped
CONDIT,Not mapped
CONDR,Not mapped
CONF18,2345-7
CONSUQ,Not mapped
COP25,2030-5
COPIII,Not mapped
COPIQ,Not mapped
COPPQ,14157-2
COPPRO,33618-0
COPROI,Not mapped
COPTSU,8198-4
CORNTH,22647-2
CORP24,9812-9
CORP26,9812-9
CORQ,6087-1
CORSQ,2143-6
CORT,2143-6
CORT25,2143-6
CORTFC,53777-9
CORTFD,53777-9
CORTFU,53777-9
CORTQ,14159-8
COSM25,18182-6
COSM26,18182-6
COTHER,51586-6
COTIQ,10366-3
COTQ,10365-5
COTTQ,6090-5
COTU,10366-3
COUQ,Not mapped
COV25,2032-1
COZQ,Not mapped
CPAP15,Not mapped
CPAP16,Not mapped
CPAP17,Not mapped
CPAP18,Not mapped
CPEP,1986-9
CPEP1Q,1986-9
CPEPT,1986-9
CPEPUQ,Not mapped
CPETOH,26597-5
CPHNAL,22646-4
CPIGA,6912-0
CPIGG,6913-8
CPIGM,6914-6
CPIGWD,7604-2
CPK17,2157-6
CPK18,2157-6
CPK24,2157-6
CPK26,2157-6
CPK27,2157-6
CPK28,2157-6
CPK3,2157-6
CPLASM,17803-8
CPOLY,26512-4
CPORF,29266-4
CPPP17,12187-1
CPPP28,12187-1
CPRO,Not mapped
CPRO23,Not mapped
CPRO3Q,Not mapped
CPROLN,22645-6
CPROP,Not mapped
CPROQ,38162-4
CPROT,2880-3
CPSIGA,6915-3
CPSIGG,6916-1
CPSIGM,6917-9
CPYRUV,14122-6
CQ1BG,Not mapped
CR,2160-0
CR15,2160-0
CR16,2160-0
CR23,2160-0
CRAB,6092-1
CRAGQ,43228-6
CRAM14,9813-7
CRAS24,Not mapped
CRATQ,16124-0
CRB14,Not mapped
CRBC,26454-9
CRBC14,7790-9
CRBC23,26454-9
CRBC25,26454-9
CRBC27,26454-9
CRBCQ,5630-9
CRBM18,3432-2
CRBM23,3432-2
CRBZ,3432-2
CRBZQ,3432-2
CRC1Q,14313-1
CRC28,Not mapped
CRC2Q,Not mapped
CRCAC,5773-7
CRCAOX,25148-8
CRCAP,5775-2
CRCC,38483-4
CRCL18,2164-2
CRCP25,5775-2
CRCR18,Not mapped
CRCRQ,Not mapped
CRCYS,5784-4
CRDLPG,3181-5
CRDLPM,3182-3
CRDLRQ,Not mapped
CRE24Q,2162-6?
CREA14,2160-0
CREA17,2160-0
CREA18,2160-0
CREA21,2160-0
CREA24,2160-0
CREA25,2160-0
CREA26,2160-0
CREA27,2160-0
CREA28,2160-0
CREA2Q,2161-8
CREAQ,Not mapped
CREARQ,Not mapped
CREAT,2160-0
CREAT2,2160-0
CREAT3,2160-0
CREATCL,2164-2
CREATP,38483-4
CREBQ,Not mapped
CREP25,38483-4
CREP26,Not mapped
CREUQ,Not mapped
CRFIBR,11043-7
CRGRCAST,33393-0
CRMP5,35386-2
CRP,1988-5
CRP14,1988-5
CRP17,1988-5
CRP23,1988-5
CRP24,1988-5
CRP25,1988-5
CRP26,1988-5
CRP27,1988-5
CRP28,1988-5
CRP3,1988-5
CRPC15,Not mapped
CRPC16,Not mapped
CRPH,30522-7
CRPH14,30522-7
CRPH24,30522-7
CRPI15,1988-5
CRPI16,1988-5
CRPM14,Not mapped
CRPNQ,12191-3
CRPO,38483-4
CRPO14,38483-4
CRPOC,38483-4
CRPQ,1988-5
CRPS17,38483-4
CRPT23,14634-0
CRRU,Not mapped
CRRUQ,Not mapped
CRSP15,Not mapped
CRSP16,Not mapped
CRTBGQ,3033-8
CRTDX,Not mapped
CRTINQ,Not mapped
CRTRP,Not mapped
CRTS14,2143-6
CRTS24,2143-6
CRTS26,2143-6
CRTSL,2143-6
CRTSL3,2143-6
CRTSLQ,2143-6
CRTSOL,2143-6
CRTV18,3167-4
CRUGM,Not mapped
CRUNC,Not mapped
CRUR25,32150-5
CRURA,32150-5
CRURQ,Not mapped
CRVA,Not mapped
CRWB14,38483-4
CRY27,Not mapped
CRYA1Q,Not mapped
CRYC24,Not mapped
CRYO1Q,15174-6
CRYOCH,Not mapped
CRYOCRIT,15174-6
CRYOCT,15174-6
CRYOGQ,5117-7
CRYOSC,5117-7
CRYOSCRT,5117-7
CRYOTQ,5117-7
CRYPTC,Not mapped
CRYPTOAG,Not mapped
CRYS18,38459-4
CRYS24,38459-4
CRYS28,Not mapped
CRYSQ,43228-6
CRYST,Not mapped
CRYSTT,Not mapped
CRYTQ,Not mapped
CS24,40958-1
CSA15,8277-6
CSA16,8277-6
CSALB,Not mapped
CSAP25,Not mapped
CSARCO,26598-3
CSC14,10335-8
CSC15,10335-8
CSC16,10335-8
CSC25,10335-8
CSCR14,49736-2
CSCR15,49736-2
CSCR16,49736-2
CSEG27,26506-6
CSEO16,26451-5
CSERIN,22644-9
CSFG17,2342-4
CSFG18,Not mapped
CSFG24,2342-4
CSFG26,2342-4
CSFG27,2342-4
CSFG28,2342-4
CSFG3,2342-4
CSFIQ,Not mapped
CSFIT2,43804-4
CSFL14,Not mapped
CSFM14,Not mapped
CSFO14,26472-1
CSFP14,Not mapped
CSFP17,2880-3
CSFP24,2880-3
CSFP26,2880-3
CSFP27,2880-3
CSFP28,2880-3
CSFP3,2880-3
CSFR14,26454-9
CSFR24,26454-9
CSFR26,26454-9
